#,Date-Time (PST/PDT),Temperature   (°C),RH   (%),Dew Point   (°C),Host Connected,Low Power Warning,Button Down,End of File
1,03-07-2024 14:40:02,8.74,63.58,2.23,,,,
2,03-07-2024 14:50:02,8.23,72.38,3.57,,,,
3,03-07-2024 15:00:02,8.07,57.91,0.30,,,,
4,03-07-2024 15:10:02,8.06,63.06,1.47,,,,
5,03-07-2024 15:20:02,7.99,66.18,2.07,,,,
6,03-07-2024 15:30:02,7.99,57.07,0.02,,,,
7,03-07-2024 15:40:02,7.99,63.27,1.44,,,,
8,03-07-2024 15:50:02,7.94,72.75,3.36,,,,
9,03-07-2024 16:00:02,7.93,59.31,0.50,,,,
10,03-07-2024 16:10:02,7.91,64.76,1.70,,,,
11,03-07-2024 16:20:02,7.82,74.21,3.52,,,,
12,03-07-2024 16:30:02,7.81,59.37,0.39,,,,
13,03-07-2024 16:40:02,7.75,64.44,1.47,,,,
14,03-07-2024 16:50:02,7.74,68.68,2.35,,,,
15,03-07-2024 17:00:02,7.69,57.96,-0.05,,,,
16,03-07-2024 17:10:02,7.73,64.39,1.44,,,,
17,03-07-2024 17:20:02,7.73,74.94,3.58,,,,
18,03-07-2024 17:30:02,7.69,60.62,0.57,,,,
19,03-07-2024 17:40:02,7.67,65.16,1.55,,,,
20,03-07-2024 17:50:02,7.56,75.62,3.54,,,,
21,03-07-2024 18:00:02,7.57,60.32,0.39,,,,
22,03-07-2024 18:10:02,7.57,65.46,1.52,,,,
23,03-07-2024 18:20:02,7.49,68.62,2.11,,,,
24,03-07-2024 18:30:02,7.49,59.30,0.08,,,,
25,03-07-2024 18:40:02,7.53,64.94,1.37,,,,
26,03-07-2024 18:50:02,7.49,76.16,3.58,,,,
27,03-07-2024 19:00:02,7.48,61.58,0.59,,,,
28,03-07-2024 19:10:02,7.34,64.59,1.12,,,,
29,03-07-2024 19:20:02,6.69,72.67,2.14,,,,
30,03-07-2024 19:30:02,5.80,56.57,-2.16,,,,
31,03-07-2024 19:40:02,4.81,63.10,-1.61,,,,
32,03-07-2024 19:50:02,4.33,71.28,-0.41,,,,
33,03-07-2024 20:00:02,4.19,61.23,-2.60,,,,
34,03-07-2024 20:10:02,4.20,65.85,-1.61,,,,
35,03-07-2024 20:20:02,4.22,72.99,-0.18,,,,
36,03-07-2024 20:30:02,4.20,62.04,-2.42,,,,
37,03-07-2024 20:40:02,4.28,65.43,-1.62,,,,
38,03-07-2024 20:50:02,4.35,72.67,-0.12,,,,
39,03-07-2024 21:00:02,4.35,63.05,-2.06,,,,
40,03-07-2024 21:10:02,4.39,67.13,-1.16,,,,
41,03-07-2024 21:20:02,4.48,68.35,-0.84,,,,
42,03-07-2024 21:30:02,4.49,60.71,-2.43,,,,
43,03-07-2024 21:40:02,4.57,66.12,-1.21,,,,
